Trial,Attempt,Menu Type,Menu Depth,Window Size,Target Item,Selected Item,Start Time, End Time
1,1,Marking,1,Large,Animals,Animals,1538017525669,1538017527140
2,1,Marking,1,Large,Food,Food,1538017529743,1538017531383
3,1,Marking,1,Large,Clothing,Clothing,1538017533949,1538017535046
4,1,Marking,2,Large,Fish,Fish,1538017541126,1538017545179
5,1,Marking,2,Large,Fruit,Fruit,1538017548090,1538017552028
6,1,Marking,2,Large,Meat,Meat,1538017554234,1538017557316
7,1,Marking,3,Large,Hamsters,Hamsters,1538017560008,1538017563957
8,1,Marking,3,Large,Goldfish,Goldfish,1538017566011,1538017570943
9,1,Marking,3,Large,Strawberry,Strawberry,1538017573308,1538017578040
10,1,Marking,1,Medium,Continents,Continents,1538017581222,1538017584066
11,1,Marking,1,Medium,Animals,Animals,1538017586408,1538017587443
12,1,Marking,1,Medium,Food,Food,1538017590345,1538017590664
13,1,Marking,2,Medium,Tops,Tops,1538017593533,1538017595371
14,1,Marking,2,Medium,Shoes,Shoes,1538017597541,1538017599713
15,1,Marking,2,Medium,Asia,Asia,1538017602525,1538017604171
16,1,Marking,3,Medium,Beef,Beef,1538017606210,1538017610023
17,1,Marking,3,Medium,Jacket,Jacket,1538017612364,1538017619318
18,1,Marking,3,Medium,Jeans,Jeans,1538017622265,1538017625621
19,1,Marking,1,Small,Clothing,Clothing,1538017628796,1538017631360
20,1,Marking,1,Small,Continents,Continents,1538017633589,1538017633878
21,1,Marking,1,Small,Animals,Animals,1538017638098,1538017638281
22,1,Marking,2,Small,Europe,Asia,1538017642022,1538017644421
22,2,Marking,2,Small,Europe,Europe,1538017645452,1538017647897
23,1,Marking,2,Small,Mammals,Mammals,1538017650239,1538017651973
24,1,Marking,2,Small,Birds,Reptiles,1538017659651,1538017659763
24,2,Marking,2,Small,Birds,Birds,1538017660266,1538017662240
25,1,Marking,3,Small,Sneakers,Sneakers,1538017678675,1538017682536
26,1,Marking,3,Small,Singapore,Singapore,1538017690102,1538017693571
27,1,Marking,3,Small,Germany,Germany,1538017696073,1538017702627
28,1,Radial,1,Large,Animals,Animals,1538017706731,1538017713057
29,1,Radial,1,Large,Food,Food,1538017715703,1538017717519
30,1,Radial,1,Large,Clothing,Clothing,1538017720053,1538017721485
31,1,Radial,2,Large,Fish,Fish,1538017723899,1538017729354
32,1,Radial,2,Large,Fruit,Fruit,1538017731810,1538017735702
33,1,Radial,2,Large,Meat,Meat,1538017737790,1538017740405
34,1,Radial,3,Large,Hamsters,Hamsters,1538017742965,1538017748092
35,1,Radial,3,Large,Goldfish,Goldfish,1538017750466,1538017761257
36,1,Radial,3,Large,Strawberry,Strawberry,1538017763346,1538017770073
37,1,Radial,1,Medium,Continents,Continents,1538017772856,1538017774311
38,1,Radial,1,Medium,Animals,Animals,1538017776088,1538017779906
39,1,Radial,1,Medium,Food,Food,1538017782038,1538017783376
40,1,Radial,2,Medium,Tops,Tops,1538017785668,1538017798123
41,1,Radial,2,Medium,Shoes,Shoes,1538017800464,1538017804771
42,1,Radial,2,Medium,Asia,Asia,1538017808023,1538017811942
43,1,Radial,3,Medium,Beef,Beef,1538017814319,1538017821303
44,1,Radial,3,Medium,Jacket,Jacket,1538017823705,1538017834307
45,1,Radial,3,Medium,Jeans,Jeans,1538017836399,1538017841207
46,1,Radial,1,Small,Clothing,Clothing,1538017844362,1538017847735
47,1,Radial,1,Small,Continents,Continents,1538017850378,1538017857878
48,1,Radial,1,Small,Animals,Animals,1538017859894,1538017861988
49,1,Radial,2,Small,Europe,Europe,1538017864321,1538017868255
50,1,Radial,2,Small,Mammals,Mammals,1538017870363,1538017877267
51,1,Radial,2,Small,Birds,Birds,1538017879674,1538017887711
52,1,Radial,3,Small,Sneakers,Sneakers,1538017889777,1538017904099
53,1,Radial,3,Small,Singapore,Singapore,1538017906362,1538017911173
54,1,Radial,3,Small,Germany,Germany,1538017913243,1538017918170
